_id,id,title,subtitle,difficulty,ageRange,price,originalPrice,hidePrice,rating,reviewsCount,buildTimeHours,image,badge,features[0],features[1],features[2],learningOutcomes[0],learningOutcomes[1],bomList[0].item,bomList[1].item,bomList[2].item,bomList[0].qty,bomList[1].qty,bomList[2].qty,codeLanguage[0],codeLanguage[1]
6ab3d9801394bb1b9e6de30f,kit-1790171490037,Soldering Iron Kit,a,Beginner,Age 10+ / Engineering Students,0,0,true,4.9,20,2.5,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&w=700&q=80,New,Plug-and-play jumper cables,Zero-soldering assembly,Full video guide,Robotics kinematics,C++ coding,Arduino Uno R3,Motor Driver,Chassis Pack,1,1,1,Arduino C++,Block Coding
6ab3d9aaff9dfb407503b888,kit-1790171531037,Elctronics  Mixed IC Chip Kit (100nos),,Beginner,Age 10+ / Engineering Students,0,0,true,4.9,20,2.5,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&w=700&q=80,New,Plug-and-play jumper cables,Zero-soldering assembly,Full video guide,Robotics kinematics,C++ coding,Arduino Uno R3,Motor Driver,Chassis Pack,1,1,1,Arduino C++,Block Coding
6ab3d9eecceb80c14ad49b77,kit-1790171591300,Arduino -Uno Starter Kit 20 IN ONE Educational Kit,,Beginner,Age 10+ / Engineering Students,100,250,false,4.9,20,2.5,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&w=700&q=80,New,Plug-and-play jumper cables,Zero-soldering assembly,Full video guide,Robotics kinematics,C++ coding,Arduino Uno R3,Motor Driver,Chassis Pack,1,1,1,Arduino C++,Block Coding
6ab3dacf1997c0055610a305,kit-1790171836065,Arduino Uno R3 Upgraded Learning Kit With RFID Module  ,,Beginner,Age 10+ / Engineering Students,1250,1800,false,4.9,20,2.5,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&w=700&q=80,New,Plug-and-play jumper cables,Zero-soldering assembly,Full video guide,Robotics kinematics,C++ coding,Arduino Uno R3,Motor Driver,Chassis Pack,1,1,1,Arduino C++,Block Coding
6ab3daf51ecc76e85485fe5d,kit-1790171861920, Arduino Nano 3.0 Beginners Kit with Shield ,,Beginner,Age 10+ / Engineering Students,0,0,true,4.9,20,2.5,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&w=700&q=80,New,Plug-and-play jumper cables,Zero-soldering assembly,Full video guide,Robotics kinematics,C++ coding,Arduino Uno R3,Motor Driver,Chassis Pack,1,1,1,Arduino C++,Block Coding
6ab3db021ecc76e85485fe5e,kit-1790171896520,Arduino Sensor kit,,Beginner,Age 10+ / Engineering Students,0,0,true,4.9,20,2.5,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&w=700&q=80,New,Plug-and-play jumper cables,Zero-soldering assembly,Full video guide,Robotics kinematics,C++ coding,Arduino Uno R3,Motor Driver,Chassis Pack,1,1,1,Arduino C++,Block Coding
6ab3db211997c0055610a306,kit-1790171922863,  ESP 8266 IoT Starter Kit ,,Beginner,Age 10+ / Engineering Students,0,0,true,4.9,20,2.5,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&w=700&q=80,New,Plug-and-play jumper cables,Zero-soldering assembly,Full video guide,Robotics kinematics,C++ coding,Arduino Uno R3,Motor Driver,Chassis Pack,1,1,1,Arduino C++,Block Coding
6ab3db3a1997c0055610a307,kit-1790171940063,Home Automation using an Arduino Uno ,,Beginner,Age 10+ / Engineering Students,0,0,true,4.9,20,2.5,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&w=700&q=80,New,Plug-and-play jumper cables,Zero-soldering assembly,Full video guide,Robotics kinematics,C++ coding,Arduino Uno R3,Motor Driver,Chassis Pack,1,1,1,Arduino C++,Block Coding
6ab3db4a1997c0055610a308,kit-1790171965967,DIY Bluetooth Controlled Car Kit with Arduino ,,Beginner,Age 10+ / Engineering Students,0,0,true,4.9,20,2.5,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&w=700&q=80,New,Plug-and-play jumper cables,Zero-soldering assembly,Full video guide,Robotics kinematics,C++ coding,Arduino Uno R3,Motor Driver,Chassis Pack,1,1,1,Arduino C++,Block Coding
6ab3db581997c0055610a309,kit-1790171979063, Object Following Robot Kit  ,,Beginner,Age 10+ / Engineering Students,0,0,true,4.9,20,2.5,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&w=700&q=80,New,Plug-and-play jumper cables,Zero-soldering assembly,Full video guide,Robotics kinematics,C++ coding,Arduino Uno R3,Motor Driver,Chassis Pack,1,1,1,Arduino C++,Block Coding
6ab3dc0b9f895ef3262a8bbd,kit-1790172154460, Obstacle Avoiding Robot using Arduino UNO Kit ,,Beginner,Age 10+ / Engineering Students,0,0,true,4.9,20,2.5,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&w=700&q=80,New,Plug-and-play jumper cables,Zero-soldering assembly,Full video guide,Robotics kinematics,C++ coding,Arduino Uno R3,Motor Driver,Chassis Pack,1,1,1,Arduino C++,Block Coding
6ab3dc1ad10ed6b49edec03e,kit-1790172170860, Line Follower Robot using Arduino UNO ,,Beginner,Age 10+ / Engineering Students,0,0,true,4.9,20,2.5,https://images.unsplash.com/photo-1485827404703-89b55fcc595e?auto=format&fit=crop&w=700&q=80,New,Plug-and-play jumper cables,Zero-soldering assembly,Full video guide,Robotics kinematics,C++ coding,Arduino Uno R3,Motor Driver,Chassis Pack,1,1,1,Arduino C++,Block Coding
